,#1,# 2,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 10,# 11,# 12
0,2,40,32,0,0,9,0,7,1,9,11,0
1,3,3,0,0,5,36,0,37,3,18,0,0
2,3,0,0,17,33,36,0,0,24,0,0,0
3,4,0,0,17,0,0,15,0,0,0,25,0
4,3,17,9,17,0,32,0,32,0,42,25,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,35,0,36,17,40,0,15,32,4,0,4,0
7,21,0,0,20,40,40,0,0,3,44,25,10
8,0,0,11,0,0,36,0,0,0,0,0,0
9,0,0,0,44,30,18,0,4,3,27,0,0
10,4,0,0,0,30,9,15,37,0,22,0,0
11,0,0,0,0,0,37,0,0,0,17,0,17
12,11,0,5,0,0,0,0,8,17,0,0,43
13,11,14,0,0,17,36,19,4,0,17,25,41
14,3,15,32,0,0,37,31,21,11,0,25,0
15,8,0,15,0,31,38,0,0,17,0,0,0
16,3,0,5,40,28,36,15,21,3,11,0,21
17,0,0,11,17,0,9,0,20,8,37,25,32
18,0,0,0,10,31,38,10,32,0,11,37,25
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,31,0,0,40,40,15,40,0,0,25,0
21,4,0,0,0,0,9,15,0,11,17,0,0
22,37,40,0,16,0,9,0,20,0,11,25,0
23,11,0,3,3,0,38,0,0,0,16,0,0
24,0,0,3,44,17,29,0,0,1,0,0,18
25,0,37,0,44,31,0,0,0,3,0,0,0
26,11,20,11,0,20,36,0,0,0,0,0,40
27,0,10,9,14,0,0,0,0,9,16,0,0
28,20,3,40,23,40,9,15,23,11,0,25,23
29,0,0,0,0,0,36,0,0,0,0,0,0
30,17,13,9,0,0,0,0,22,3,0,0,0
31,3,0,17,24,21,0,33,0,32,36,0,0
32,0,0,9,13,17,36,0,24,24,0,25,0
33,32,11,9,16,36,0,0,8,16,5,0,0
34,0,36,0,0,37,0,0,0,0,0,0,0
35,15,0,9,27,0,36,0,4,1,31,35,0
36,25,0,32,45,17,40,15,4,0,28,21,17
37,0,9,31,17,0,37,15,40,1,11,25,25
38,9,0,32,0,0,9,15,24,0,18,0,0
39,1,0,0,0,0,0,0,0,11,0,0,0
40,21,32,18,44,31,37,15,24,11,11,11,23
41,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,3,0,0,16,17
43,0,9,0,0,37,0,0,0,41,0,25,36
44,0,0,0,10,25,37,0,0,4,0,0,0
45,0,0,0,0,0,0,0,0,8,0,0,0
46,3,0,17,45,31,0,31,8,17,16,0,0
47,37,0,11,0,0,0,14,8,8,0,0,16
48,0,0,32,16,40,0,0,0,0,5,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0
50,4,0,0,16,32,32,31,0,0,0,12,0
51,1,19,37,14,31,36,0,0,1,18,25,5
52,11,0,18,22,32,5,0,0,0,0,0,43
53,43,15,9,13,0,0,15,24,11,0,0,43
54,0,0,0,0,0,0,15,0,0,0,0,0
